created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Sep 03 09:04:58 +0000 2023;1698260787213873233;"[Bb] micellar water nya wardah ternyata oke juga yaaa. Btw ini hasil menerjang polusi jakarta 🥲🥲🥲 https://t.co/BCCbmV2Q8Q";82;147;55;1723;in;994801274091687936;1698260787213873233;ohmybeautybank;https://twitter.com/ohmybeautybank/status/1698260787213873233
Tue Jul 25 10:05:05 +0000 2023;1683780403205906432;"Sumpah aku kira instaperfect itu salah satu series wardah 😭 ternyata merk tersendiri?! [BB] wkwk https://t.co/ytiH3vSXDy";215;342;351;8412;in;994801274091687936;1683780403205906432;ohmybeautybank;https://twitter.com/ohmybeautybank/status/1683780403205906432
Mon Jun 26 14:03:23 +0000 2023;1673331123236089859;"Sudah claim beluum? Lumayan bisa buat Wardah  https://t.co/k6LCRuv5vk https://t.co/uIsa2jQoYo";0;0;0;3;in;1581884899560423424;1673331123236089859;berburusales;https://twitter.com/berburusales/status/1673331123236089859
Mon Jun 26 11:14:04 +0000 2023;1673288513029296130;"tolong jg salma pake dress kyk wardah utk silet awards aaaa pasti cantik 🖤";0;0;0;43;in;1665564301783089152;1673288513029296130;qellycelily;https://twitter.com/qellycelily/status/1673288513029296130
Mon Jun 26 06:49:47 +0000 2023;1673222006119211008;"Kalau korang tak pandai mekap....jadilah macam saya, pakai je wardah fd cushion ni 😆  Besttt teruk sebab skin auto nampak peloles &amp  tak crack langsung weh! 🙌🏻 https://t.co/1lzOQbREnL";1;2;63;39;in;1313351061080481792;1673222006119211008;bysueibrahim_;https://twitter.com/bysueibrahim_/status/1673222006119211008
Thu Jun 15 09:51:24 +0000 2023;1669281444387233793;"GIVEAWAY!!  Hadiahnya 1 paket makeup Wardah (semua yang ada di foto) buat 1 orang pemenang beruntung❤️ Ini hadiahnya NEW semua yah!  Caranya gampang~ • Follow aku • RT + Like tweet ini • Reply "mau dong"  Good luck yahh~🥰✨ Aku undi secepatnya nanti, tunggu aja!😆👌 https://t.co/Y4VYWfm06n";36;1853;1735;1866;in;972632196447006720;1669281444387233793;bulbulkun;https://twitter.com/bulbulkun/status/1669281444387233793
Fri May 19 05:48:21 +0000 2023;1659435806401122306;"@tanyakanrl Cocok jadi BA wardah muka nya halal bgt 😭😭 ademm.gimana gituu";16;21;59;1394;in;1481537310252744706;1659431209276182528;hehhshshs1qjq;https://twitter.com/hehhshshs1qjq/status/1659435806401122306
Fri May 05 10:02:35 +0000 2023;1654426356820905984;"Tak sabar nunggu nama yuniq sbb: 🫶 St Cawang Wardah 🫶 St Yogyakarta MS Glow 🫶 St Purwokerto RANS Ent 🫶 St Pasar Minggu Geprek Bensu";167;184;569;1226;in;41284868;1654426356820905984;rizkidwika;https://twitter.com/rizkidwika/status/1654426356820905984
Mon Apr 24 14:49:08 +0000 2023;1650512201118101507;"Kaayy dah jumpa shade lipstick yang sesuai with my skin bila tak make up. Wardah Colorfit ni nicee makan minyak2 je la kena topup sikit. Price mesra pocket. https://t.co/cqH1O8nRs9";33;48;291;1693;in;1211760938;1650512201118101507;dewirosliiiiiii;https://twitter.com/dewirosliiiiiii/status/1650512201118101507
Fri Apr 21 10:37:33 +0000 2023;1649361724771020800;"@xavierbackk @AREAJULID Meanwhile.. CEO wardah, emina, dll~ https://t.co/sgXynEPpiO";40;17;101;2059;in;269704515;1649330726125572098;snmufidaa;https://twitter.com/snmufidaa/status/1649361724771020800
Thu Apr 13 13:25:34 +0000 2023;1646504905853792259;"@FOODFESS2 Wardah colorfit https://t.co/wUrmep44Fb";38;21;80;1367;in;894819433;1646492634796687360;latiefahnfauzi;https://twitter.com/latiefahnfauzi/status/1646504905853792259
Sun Mar 19 09:07:25 +0000 2023;1637380241021886464;"@convomfs Nder mending saranin serum wardah/implora aja deh nder lebih jelas dan ga mahal kok 😭😭";1;0;18;3368;in;1301751540596617216;1637376848899497989;loominaires;https://twitter.com/loominaires/status/1637380241021886464
Tue Mar 14 16:33:08 +0000 2023;1635680473426034691;"@ohmybeautybank sampo tresemme, condi wardah, tonic blishful, hair serum madebyruna, leave on condi pantene, hair oil ree derma, heat protector makarizo, hair dryer dari klaz, catokan dari babybliss, sisir dari the wet brush, iket rambut dari teatimelabel https://t.co/8jHlCEBsBw";25;27;148;1933;in;1530059079925714944;1635662109618081793;ryaburii;https://twitter.com/ryaburii/status/1635680473426034691
Thu Feb 16 04:51:46 +0000 2023;1626081882323681280;"Satu lagi bentuk keberhasilan branding perusahaan yang gue baru sadar pagi ini adalah ketika orang menamakan suatu warna dengan mengaitkannya sama logo brand kita  Contoh: - Biru wardah (maksudnya biru soft kayak logo wardah) - Hijau gojek (maksudnya hijau cetar kayak logo gojek) https://t.co/Mst2HnuRxw";292;178;984;11403;in;1115007611714162688;1626081882323681280;sourvive;https://twitter.com/sourvive/status/1626081882323681280
Wed Feb 15 06:27:43 +0000 2023;1625743638885208064;"Kalau keluar &amp  I malas pakai foundation, I pakai je DD cream Wardah ni. Terus auto glow + nampak mcm pakai FD. Mmg one of my fav to go. Kalau pegi memana nak solat pun senang nak cuci &amp  nak re-apply. Harga dlm 11 something je Girlssss! Cuba la 😘 https://t.co/6OjbFIihdF";22;9;221;1125;in;466337477;1625743638885208064;AinulNunanaa;https://twitter.com/AinulNunanaa/status/1625743638885208064
Mon Feb 13 11:39:01 +0000 2023;1625097206293487616;"Tanned skin? Wardah Lip Mousse code 14 is the best best colour ever! Dalah bila pakai tu rasa macam tk pakai, soooo ringannnn. Loveeeeeit! 🥺 https://t.co/VckVL7hhaa";15;5;343;1293;in;1605672847;1625097206293487616;Chapienat;https://twitter.com/Chapienat/status/1625097206293487616
Thu Feb 02 23:24:44 +0000 2023;1621288539374899201;"@Askrlfess dari bentuk sama warnanya sih itu dikecup pas lagi pelukan di motor pake lipstick wardah colorfir velvet matte lip mousse 02 yng teksturnya lembut dengan hasil akhir powdery yang ringan dan nyaman seharian di bibir tanpa rasa lengket. produknya di keranjang no. 2";103;114;244;1793;in;1305692298932436993;1621093642697056256;sarjanakwangya;https://twitter.com/sarjanakwangya/status/1621288539374899201
Wed Feb 01 05:07:42 +0000 2023;1620650071959437312;"Kenapa I baru tahu Wardah punya product mostly kualiti dia letop😭.   Cream blush ni beli RM9 time sale, dia punya texture creamy tu loveeee teruk. Pigmented gila, pakai sikit je dah cantik. https://t.co/yxfFd7qAkw";55;6;340;1463;in;239266720;1620650071959437312;anisaniesa;https://twitter.com/anisaniesa/status/1620650071959437312
Wed Jan 25 02:05:06 +0000 2023;1618067407477837824;"Thank you siapa yang suggest fd cushion Wardah ni. Nak topup makeup after solat pun dab dab sekejap je terus siap!   I pernah try brand lain, makeup jadi bercapuk but this one nampak glowing gila and senang je blend. Paling penting harga mur mur 😆 https://t.co/h7a0Tdup7T";233;29;1506;5436;in;239266720;1618067407477837824;anisaniesa;https://twitter.com/anisaniesa/status/1618067407477837824
Sat Dec 31 11:37:15 +0000 2022;1609151696395194370;"Best purchase 2022.  Wardah face mist buat muka glowing. Makeup setting spray biru lagi best dari pink.  Guardian ada 50% off kan pergi beli!! https://t.co/xDFMvGuHVA";25;2;434;1507;in;936969084;1609151696395194370;Nurintashaa;https://twitter.com/Nurintashaa/status/1609151696395194370
Sat Dec 24 02:16:03 +0000 2022;1606473750853341185;"Wait! Kenapa i takpernah tahu facemist wardah ni palingggg best! I baru pakai 3minggu dah habis 😭 Tak ada botol besar keeeeee 😭  I nak repeat lagi, sebab dah licin botol first! Suka sebab makeup stay lama, lepas tu dia buat muka you macam glowing ke, licin ke tkthulah nak ckp! https://t.co/ep8izLTg0C";66;9;481;1523;in;1605672847;1606473750853341185;Chapienat;https://twitter.com/Chapienat/status/1606473750853341185
Sat Dec 17 09:43:27 +0000 2022;1604049628399570944;"Bukan merk korea atau internesyenel. Tapi wardah :)   Too pretty.. i can not🥹🫶🏽 https://t.co/XffoFOHi9W";42;77;178;1310;in;385867979;1604049628399570944;skinsofun;https://twitter.com/skinsofun/status/1604049628399570944
Sat Dec 17 07:51:49 +0000 2022;1604021534649352194;"@Askrlfess emina sun protection spf 30 pa +++ ini. warnanya aneh, baunya aneh, perih kalo ga sengaja kena mata, bikin muka becek oily, bikin gerah &amp  keringetan. not too bad tapi kalo dibandingin wardah &amp  implora yang aku pake sekarang ya jauhhhhhh~ https://t.co/uCXGmHPTHn";290;463;227;4019;in;1324204879582162944;1604006269706153985;sunshinedreamie;https://twitter.com/sunshinedreamie/status/1604021534649352194
Sat Dec 17 06:56:25 +0000 2022;1604007590253379585;"@Askrlfess wardah. segala jenis produknya gapernah cocok di aku.";56;86;107;1922;in;881718812508172288;1604006269706153985;eicila;https://twitter.com/eicila/status/1604007590253379585
Wed Dec 14 09:02:55 +0000 2022;1602952263764529153;"My second bottles of wardah face mist sebab haritu i keluar dengan kawan i semua pakat pinjam nak spray kat muka sebab dorang cakap texture best! My bf pun sukaaa sbb bau oren   Not gonna lie look at how it stays on my face — real glowww ✨ https://t.co/jNAC7RMJcc";82;14;419;2046;in;984869825313832960;1602952263764529153;sofearozaidi_;https://twitter.com/sofearozaidi_/status/1602952263764529153
